Date,Product_ID,Category,Price,Discount,On_Promotion,Weekend,Month,DayOfWeek,Current_Stock,Sales_Quantity,Revenue,Supplier_Lead_Time,Stockout_Risk,Yesterday_Sales,Avg_Sales_7Days
2025-01-01,SKU_0001,Beauty,57.54,0,0,0,1,2,122,101,5811.54,3,0,0,101.0
2025-01-02,SKU_0001,Beauty,57.54,15,1,0,1,3,163,149,7287.44,3,1,101,125.0
2025-01-03,SKU_0001,Beauty,57.54,0,0,0,1,4,94,102,5869.08,3,1,149,117.33
2025-01-04,SKU_0001,Beauty,57.54,0,0,1,1,5,178,139,7998.06,3,0,102,122.75
2025-01-05,SKU_0001,Beauty,57.54,0,0,1,1,6,149,137,7882.98,3,1,139,125.6
2025-01-06,SKU_0001,Beauty,57.54,0,0,0,1,0,138,107,6156.78,3,0,137,122.5
2025-01-07,SKU_0001,Beauty,57.54,5,1,0,1,1,177,155,8472.76,3,1,107,127.14
2025-01-08,SKU_0001,Beauty,57.54,0,0,0,1,2,139,102,5869.08,3,0,155,127.29
2025-01-09,SKU_0001,Beauty,57.54,0,0,0,1,3,121,106,6099.24,3,1,102,121.14
2025-01-10,SKU_0001,Beauty,57.54,0,0,0,1,4,118,105,6041.7,3,1,106,121.57
2025-01-11,SKU_0001,Beauty,57.54,10,1,1,1,5,214,189,9787.55,3,1,105,128.71
2025-01-12,SKU_0001,Beauty,57.54,0,0,1,1,6,129,132,7595.28,3,1,189,128.0
2025-01-13,SKU_0001,Beauty,57.54,0,0,0,1,0,111,99,5696.46,3,1,132,126.86
2025-01-14,SKU_0001,Beauty,57.54,0,0,0,1,1,89,98,5638.92,3,1,99,118.71
2025-01-15,SKU_0001,Beauty,57.54,0,0,0,1,2,116,102,5869.08,3,1,98,118.71
2025-01-16,SKU_0001,Beauty,57.54,0,0,0,1,3,113,102,5869.08,3,1,102,118.14
2025-01-17,SKU_0001,Beauty,57.54,0,0,0,1,4,101,106,6099.24,3,1,102,118.29
2025-01-18,SKU_0001,Beauty,57.54,0,0,1,1,5,168,142,8170.68,3,1,106,111.57
2025-01-19,SKU_0001,Beauty,57.54,0,0,1,1,6,169,136,7825.44,3,0,142,112.14
2025-01-20,SKU_0001,Beauty,57.54,20,1,0,1,0,187,153,7042.9,3,0,136,119.86
2025-01-21,SKU_0001,Beauty,57.54,0,0,0,1,1,128,99,5696.46,3,0,153,120.0
2025-01-22,SKU_0001,Beauty,57.54,0,0,0,1,2,129,98,5638.92,3,0,99,119.43
2025-01-23,SKU_0001,Beauty,57.54,0,0,0,1,3,105,97,5581.38,3,1,98,118.71
2025-01-24,SKU_0001,Beauty,57.54,0,0,0,1,4,118,103,5926.62,3,1,97,118.29
2025-01-25,SKU_0001,Beauty,57.54,0,0,1,1,5,148,136,7825.44,3,1,103,117.43
2025-01-26,SKU_0001,Beauty,57.54,0,0,1,1,6,126,136,7825.44,3,1,136,117.43
2025-01-27,SKU_0001,Beauty,57.54,0,0,0,1,0,133,97,5581.38,3,0,136,109.43
2025-01-28,SKU_0001,Beauty,57.54,0,0,0,1,1,139,102,5869.08,3,0,97,109.86
2025-01-29,SKU_0001,Beauty,57.54,0,0,0,1,2,91,101,5811.54,3,1,102,110.29
2025-01-30,SKU_0001,Beauty,57.54,25,1,0,1,3,171,153,6602.72,3,1,101,118.29
2025-01-31,SKU_0001,Beauty,57.54,0,0,0,1,4,111,106,6099.24,3,1,153,118.71
2025-02-01,SKU_0001,Beauty,57.54,0,0,1,2,5,155,137,7882.98,3,1,106,118.86
2025-02-02,SKU_0001,Beauty,57.54,0,0,1,2,6,172,136,7825.44,3,0,137,118.86
2025-02-03,SKU_0001,Beauty,57.54,0,0,0,2,0,94,100,5754.0,3,1,136,119.29
2025-02-04,SKU_0001,Beauty,57.54,0,0,0,2,1,121,106,6099.24,3,1,100,119.86
2025-02-05,SKU_0001,Beauty,57.54,0,0,0,2,2,128,103,5926.62,3,0,106,120.14
2025-02-06,SKU_0001,Beauty,57.54,0,0,0,2,3,113,101,5811.54,3,1,103,112.71
2025-02-07,SKU_0001,Beauty,57.54,0,0,0,2,4,96,102,5869.08,3,1,101,112.14
2025-02-08,SKU_0001,Beauty,57.54,20,1,1,2,5,200,192,8838.14,3,1,102,120.0
2025-02-09,SKU_0001,Beauty,57.54,0,0,1,2,6,126,132,7595.28,3,1,192,119.43
2025-02-10,SKU_0001,Beauty,57.54,0,0,0,2,0,109,104,5984.16,3,1,132,120.0
2025-02-11,SKU_0001,Beauty,57.54,0,0,0,2,1,114,97,5581.38,3,1,104,118.71
2025-02-12,SKU_0001,Beauty,57.54,0,0,0,2,2,116,107,6156.78,3,1,97,119.29
2025-02-13,SKU_0001,Beauty,57.54,0,0,0,2,3,122,98,5638.92,3,0,107,118.86
2025-02-14,SKU_0001,Beauty,57.54,0,0,0,2,4,129,97,5581.38,3,0,98,118.14
2025-02-15,SKU_0001,Beauty,57.54,15,1,1,2,5,205,183,8950.35,3,1,97,116.86
2025-02-16,SKU_0001,Beauty,57.54,0,0,1,2,6,175,142,8170.68,3,0,183,118.29
2025-02-17,SKU_0001,Beauty,57.54,0,0,0,2,0,137,98,5638.92,3,0,142,117.43
2025-02-18,SKU_0001,Beauty,57.54,0,0,0,2,1,112,97,5581.38,3,1,98,117.43
2025-02-19,SKU_0001,Beauty,57.54,0,0,0,2,2,105,106,6099.24,3,1,97,117.29
2025-02-20,SKU_0001,Beauty,57.54,0,0,0,2,3,128,98,5638.92,3,0,106,117.29
2025-02-21,SKU_0001,Beauty,57.54,0,0,0,2,4,145,106,6099.24,3,0,98,118.57
2025-02-22,SKU_0001,Beauty,57.54,0,0,1,2,5,164,139,7998.06,3,1,106,112.29
2025-02-23,SKU_0001,Beauty,57.54,0,0,1,2,6,165,140,8055.6,3,1,139,112.0
2025-02-24,SKU_0001,Beauty,57.54,0,0,0,2,0,118,105,6041.7,3,1,140,113.0
2025-02-25,SKU_0001,Beauty,57.54,0,0,0,2,1,121,97,5581.38,3,0,105,113.0
2025-02-26,SKU_0001,Beauty,57.54,0,0,0,2,2,136,98,5638.92,3,0,97,111.86
2025-02-27,SKU_0001,Beauty,57.54,0,0,0,2,3,116,104,5984.16,3,1,98,112.71
2025-02-28,SKU_0001,Beauty,57.54,25,1,0,2,4,150,148,6386.94,3,1,104,118.71
2025-03-01,SKU_0001,Beauty,57.54,0,0,1,3,5,164,134,7710.36,3,0,148,118.0
2025-03-02,SKU_0001,Beauty,57.54,0,0,1,3,6,141,132,7595.28,3,1,134,116.86
2025-03-03,SKU_0001,Beauty,57.54,0,0,0,3,0,104,102,5869.08,3,1,132,116.43
2025-03-04,SKU_0001,Beauty,57.54,5,1,0,3,1,152,151,8254.11,3,1,102,124.14
2025-03-05,SKU_0001,Beauty,57.54,15,1,0,3,2,152,156,7629.8,3,1,151,132.43
2025-03-06,SKU_0001,Beauty,57.54,20,1,0,3,3,186,150,6904.8,3,0,156,139.0
2025-03-07,SKU_0001,Beauty,57.54,0,0,0,3,4,125,101,5811.54,3,0,150,132.29
2025-03-08,SKU_0001,Beauty,57.54,0,0,1,3,5,145,135,7767.9,3,1,101,132.43
2025-03-09,SKU_0001,Beauty,57.54,0,0,1,3,6,143,138,7940.52,3,1,135,133.29
2025-03-10,SKU_0001,Beauty,57.54,0,0,0,3,0,132,101,5811.54,3,0,138,133.14
2025-03-11,SKU_0001,Beauty,57.54,10,1,0,3,1,176,152,7871.47,3,1,101,133.29
2025-03-12,SKU_0001,Beauty,57.54,15,1,0,3,2,165,158,7727.62,3,1,152,133.57
2025-03-13,SKU_0001,Beauty,57.54,5,1,0,3,3,190,157,8582.09,3,0,158,134.57
2025-03-14,SKU_0001,Beauty,57.54,25,1,0,3,4,186,155,6689.02,3,0,157,142.29
2025-03-15,SKU_0001,Beauty,57.54,0,0,1,3,5,133,142,8170.68,3,1,155,143.29
2025-03-16,SKU_0001,Beauty,57.54,0,0,1,3,6,163,136,7825.44,3,1,142,143.0
2025-03-17,SKU_0001,Beauty,57.54,25,1,0,3,0,159,148,6386.94,3,1,136,149.71
2025-03-18,SKU_0001,Beauty,57.54,0,0,0,3,1,117,103,5926.62,3,1,148,142.71
2025-03-19,SKU_0001,Beauty,57.54,0,0,0,3,2,95,100,5754.0,3,1,103,134.43
2025-03-20,SKU_0001,Beauty,57.54,0,0,0,3,3,132,99,5696.46,3,0,100,126.14
2025-03-21,SKU_0001,Beauty,57.54,0,0,0,3,4,106,107,6156.78,3,1,99,119.29
2025-03-22,SKU_0001,Beauty,57.54,15,1,1,3,5,201,184,8999.26,3,1,107,125.29
2025-03-23,SKU_0001,Beauty,57.54,0,0,1,3,6,152,135,7767.9,3,1,184,125.14
2025-03-24,SKU_0001,Beauty,57.54,0,0,0,3,0,133,105,6041.7,3,0,135,119.0
2025-03-25,SKU_0001,Beauty,57.54,0,0,0,3,1,143,105,6041.7,3,0,105,119.29
2025-03-26,SKU_0001,Beauty,57.54,0,0,0,3,2,124,97,5581.38,3,0,105,118.86
2025-03-27,SKU_0001,Beauty,57.54,0,0,0,3,3,139,106,6099.24,3,0,97,119.86
2025-03-28,SKU_0001,Beauty,57.54,25,1,0,3,4,157,152,6559.56,3,1,106,126.29
2025-03-29,SKU_0001,Beauty,57.54,0,0,1,3,5,168,142,8170.68,3,1,152,120.29
2025-03-30,SKU_0001,Beauty,57.54,0,0,1,3,6,143,134,7710.36,3,1,142,120.14
2025-03-31,SKU_0001,Beauty,57.54,0,0,0,3,0,143,105,6041.7,3,0,134,120.14
2025-04-01,SKU_0001,Beauty,57.54,0,0,0,4,1,89,97,5581.38,3,1,105,119.0
2025-04-02,SKU_0001,Beauty,57.54,5,1,0,4,2,159,158,8636.75,3,1,97,127.71
2025-04-03,SKU_0001,Beauty,57.54,20,1,0,4,3,172,155,7134.96,3,1,158,134.71
2025-04-04,SKU_0001,Beauty,57.54,0,0,0,4,4,123,106,6099.24,3,1,155,128.14
2025-04-05,SKU_0001,Beauty,57.54,0,0,1,4,5,178,139,7998.06,3,0,106,127.71
2025-04-06,SKU_0001,Beauty,57.54,0,0,1,4,6,166,136,7825.44,3,0,139,128.0
2025-04-07,SKU_0001,Beauty,57.54,0,0,0,4,0,113,107,6156.78,3,1,136,128.29
2025-04-08,SKU_0001,Beauty,57.54,0,0,0,4,1,110,101,5811.54,3,1,107,128.86
2025-04-09,SKU_0001,Beauty,57.54,0,0,0,4,2,94,99,5696.46,3,1,101,120.43
2025-04-10,SKU_0001,Beauty,57.54,25,1,0,4,3,147,156,6732.18,3,1,99,120.57
2025-04-11,SKU_0001,Beauty,57.54,0,0,0,4,4,132,98,5638.92,3,0,156,119.43
2025-04-12,SKU_0001,Beauty,57.54,0,0,1,4,5,161,139,7998.06,3,1,98,119.43
2025-04-13,SKU_0001,Beauty,57.54,0,0,1,4,6,154,133,7652.82,3,1,139,119.0
2025-04-14,SKU_0001,Beauty,57.54,15,1,0,4,0,167,152,7434.17,3,1,133,125.43
2025-04-15,SKU_0001,Beauty,57.54,0,0,0,4,1,118,102,5869.08,3,1,152,125.57
2025-04-16,SKU_0001,Beauty,57.54,0,0,0,4,2,120,97,5581.38,3,0,102,125.29
2025-04-17,SKU_0001,Beauty,57.54,0,0,0,4,3,107,97,5581.38,3,1,97,116.86
2025-04-18,SKU_0001,Beauty,57.54,0,0,0,4,4,119,102,5869.08,3,1,97,117.43
2025-04-19,SKU_0001,Beauty,57.54,0,0,1,4,5,163,136,7825.44,3,1,102,117.0
2025-04-20,SKU_0001,Beauty,57.54,25,1,1,4,6,213,187,8069.98,3,1,136,124.71
