sku_id,category,list_price
SKU_0001,Beauty,57.54
SKU_0002,Sports,81.7
SKU_0003,Home & Kitchen,33.0
SKU_0004,Sports,82.11
SKU_0005,Sports,117.14
SKU_0006,Apparel,26.82
SKU_0007,Electronics,126.06
SKU_0008,Sports,66.03
SKU_0009,Home & Kitchen,99.54
SKU_0010,Beauty,58.69
SKU_0011,Home & Kitchen,69.72
SKU_0012,Electronics,61.61
SKU_0013,Sports,67.8
SKU_0014,Beauty,57.11
SKU_0015,Apparel,40.05
SKU_0016,Sports,46.93
SKU_0017,Beauty,16.1
SKU_0018,Home & Kitchen,138.21
SKU_0019,Apparel,58.06
SKU_0020,Apparel,51.9
SKU_0021,Apparel,65.38
SKU_0022,Apparel,73.16
SKU_0023,Beauty,12.26
SKU_0024,Sports,50.78
SKU_0025,Apparel,77.74
SKU_0026,Beauty,23.8
SKU_0027,Sports,32.08
SKU_0028,Electronics,243.06
SKU_0029,Home & Kitchen,45.85
SKU_0030,Home & Kitchen,120.27
SKU_0031,Apparel,38.3
SKU_0032,Beauty,53.16
SKU_0033,Apparel,21.2
SKU_0034,Sports,94.31
SKU_0035,Home & Kitchen,92.96
SKU_0036,Sports,117.31
SKU_0037,Electronics,230.43
SKU_0038,Home & Kitchen,87.96
SKU_0039,Apparel,16.65
SKU_0040,Home & Kitchen,24.09
SKU_0041,Electronics,128.59
SKU_0042,Sports,48.68
SKU_0043,Home & Kitchen,46.4
SKU_0044,Home & Kitchen,110.32
SKU_0045,Apparel,55.58
SKU_0046,Electronics,76.37
SKU_0047,Beauty,20.92
SKU_0048,Home & Kitchen,62.16
SKU_0049,Beauty,27.81
SKU_0050,Electronics,118.03
SKU_0051,Electronics,254.5
SKU_0052,Home & Kitchen,20.9
SKU_0053,Electronics,171.21
SKU_0054,Home & Kitchen,55.02
SKU_0055,Home & Kitchen,62.02
SKU_0056,Beauty,28.18
SKU_0057,Apparel,77.56
SKU_0058,Apparel,61.3
SKU_0059,Electronics,299.44
SKU_0060,Electronics,294.15
SKU_0061,Sports,57.78
SKU_0062,Home & Kitchen,108.49
SKU_0063,Beauty,32.39
SKU_0064,Beauty,14.04
SKU_0065,Electronics,232.05
SKU_0066,Beauty,59.17
SKU_0067,Home & Kitchen,126.14
SKU_0068,Electronics,130.2
SKU_0069,Sports,106.54
SKU_0070,Home & Kitchen,48.63
SKU_0071,Home & Kitchen,125.24
SKU_0072,Beauty,57.03
SKU_0073,Apparel,69.45
SKU_0074,Beauty,46.76
SKU_0075,Apparel,31.77
SKU_0076,Apparel,78.84
SKU_0077,Beauty,23.04
SKU_0078,Beauty,37.91
SKU_0079,Electronics,119.72
SKU_0080,Home & Kitchen,131.32
SKU_0081,Electronics,210.51
SKU_0082,Electronics,90.41
SKU_0083,Beauty,39.03
SKU_0084,Electronics,215.88
SKU_0085,Apparel,25.45
SKU_0086,Apparel,59.97
SKU_0087,Electronics,93.98
SKU_0088,Electronics,173.47
SKU_0089,Home & Kitchen,105.49
SKU_0090,Beauty,35.44
SKU_0091,Sports,71.24
SKU_0092,Home & Kitchen,123.33
SKU_0093,Electronics,194.23
SKU_0094,Sports,46.87
SKU_0095,Beauty,11.22
SKU_0096,Electronics,298.64
SKU_0097,Sports,51.56
SKU_0098,Home & Kitchen,117.2
SKU_0099,Sports,65.68
SKU_0100,Home & Kitchen,147.44
